             o  ,    o  ,                                BOSTON, MASSACHUSETTS                         Astronomical Applications Dept.
Location: W071 05, N42 19                          Rise and Set for the Sun for 2016                   U. S. Naval Observatory        
                                                                                                       Washington, DC  20392-5420     
                                                         Eastern Standard Time                                                        
                                                                                                                                      
                                                                                                                                      
       Jan.       Feb.       Mar.       Apr.       May        June       July       Aug.       Sept.      Oct.       Nov.       Dec.  
Day Rise  Set  Rise  Set  Rise  Set  Rise  Set  Rise  Set  Rise  Set  Rise  Set  Rise  Set  Rise  Set  Rise  Set  Rise  Set  Rise  Set
     h m  h m   h m  h m   h m  h m   h m  h m   h m  h m   h m  h m   h m  h m   h m  h m   h m  h m   h m  h m   h m  h m   h m  h m
01  0713 1622  0658 1658  0619 1735  0526 1811  0439 1844  0410 1915  0412 1925  0438 1903  0510 1817  0542 1725  0618 1637  0654 1613
02  0713 1623  0657 1659  0617 1736  0524 1812  0438 1846  0410 1916  0412 1925  0439 1902  0511 1816  0543 1723  0619 1636  0655 1612
03  0714 1624  0656 1701  0616 1737  0523 1813  0436 1847  0409 1916  0413 1924  0440 1901  0512 1814  0544 1722  0621 1635  0656 1612
04  0714 1625  0655 1702  0614 1738  0521 1814  0435 1848  0409 1917  0413 1924  0441 1900  0513 1812  0545 1720  0622 1633  0657 1612
05  0714 1626  0654 1703  0612 1740  0519 1815  0434 1849  0409 1918  0414 1924  0442 1858  0514 1811  0546 1718  0623 1632  0658 1612
06  0713 1627  0653 1704  0611 1741  0518 1816  0433 1850  0408 1918  0415 1923  0443 1857  0515 1809  0547 1716  0624 1631  0659 1612
07  0713 1628  0652 1706  0609 1742  0516 1817  0431 1851  0408 1919  0415 1923  0444 1856  0516 1807  0549 1715  0626 1630  0700 1612
08  0713 1629  0651 1707  0607 1743  0514 1819  0430 1852  0408 1920  0416 1923  0445 1854  0517 1805  0550 1713  0627 1629  0701 1612
09  0713 1630  0649 1708  0606 1744  0513 1820  0429 1853  0408 1920  0417 1922  0446 1853  0518 1804  0551 1711  0628 1628  0702 1612
10  0713 1631  0648 1710  0604 1746  0511 1821  0428 1854  0407 1921  0418 1922  0447 1852  0520 1802  0552 1710  0629 1627  0703 1612
11  0712 1632  0647 1711  0602 1747  0509 1822  0427 1855  0407 1921  0418 1921  0448 1850  0521 1800  0553 1708  0631 1626  0704 1612
12  0712 1633  0645 1712  0601 1748  0508 1823  0426 1856  0407 1922  0419 1921  0449 1849  0522 1758  0554 1706  0632 1625  0704 1612
13  0712 1634  0644 1714  0559 1749  0506 1824  0425 1857  0407 1922  0420 1920  0450 1847  0523 1757  0555 1705  0633 1624  0705 1612
14  0711 1635  0643 1715  0557 1750  0504 1825  0424 1858  0407 1923  0421 1919  0451 1846  0524 1755  0557 1703  0634 1623  0706 1613
15  0711 1637  0641 1716  0555 1751  0503 1827  0423 1859  0407 1923  0421 1919  0452 1845  0525 1753  0558 1702  0636 1622  0707 1613
16  0711 1638  0640 1717  0554 1753  0501 1828  0422 1900  0407 1923  0422 1918  0453 1843  0526 1751  0559 1700  0637 1621  0707 1613
17  0710 1639  0639 1719  0552 1754  0500 1829  0421 1901  0407 1924  0423 1917  0454 1842  0527 1750  0600 1658  0638 1620  0708 1613
18  0710 1640  0637 1720  0550 1755  0458 1830  0420 1902  0407 1924  0424 1917  0455 1840  0528 1748  0601 1657  0639 1620  0709 1614
19  0709 1641  0636 1721  0549 1756  0456 1831  0419 1903  0407 1924  0425 1916  0456 1839  0529 1746  0602 1655  0641 1619  0709 1614
20  0708 1643  0634 1722  0547 1757  0455 1832  0418 1904  0408 1924  0426 1915  0457 1837  0530 1744  0604 1654  0642 1618  0710 1615
21  0708 1644  0633 1724  0545 1758  0453 1833  0417 1905  0408 1925  0427 1914  0458 1835  0531 1743  0605 1652  0643 1617  0710 1615
22  0707 1645  0631 1725  0543 1759  0452 1834  0416 1906  0408 1925  0428 1913  0500 1834  0532 1741  0606 1651  0644 1617  0711 1616
23  0706 1646  0630 1726  0542 1801  0450 1835  0416 1907  0408 1925  0429 1912  0501 1832  0533 1739  0607 1649  0645 1616  0711 1616
24  0706 1648  0628 1727  0540 1802  0449 1837  0415 1908  0409 1925  0430 1912  0502 1831  0534 1737  0608 1648  0646 1616  0712 1617
25  0705 1649  0627 1729  0538 1803  0447 1838  0414 1909  0409 1925  0431 1911  0503 1829  0535 1735  0610 1647  0648 1615  0712 1618
26  0704 1650  0625 1730  0536 1804  0446 1839  0413 1910  0409 1925  0432 1910  0504 1827  0537 1734  0611 1645  0649 1615  0712 1618
27  0703 1651  0624 1731  0535 1805  0445 1840  0413 1911  0410 1925  0432 1909  0505 1826  0538 1732  0612 1644  0650 1614  0713 1619
28  0702 1653  0622 1732  0533 1806  0443 1841  0412 1912  0410 1925  0433 1908  0506 1824  0539 1730  0613 1642  0651 1614  0713 1620
29  0701 1654  0621 1734  0531 1807  0442 1842  0412 1912  0411 1925  0434 1906  0507 1822  0540 1728  0614 1641  0652 1613  0713 1620
30  0700 1655             0530 1808  0440 1843  0411 1913  0411 1925  0435 1905  0508 1821  0541 1727  0616 1640  0653 1613  0713 1621
31  0659 1657             0528 1810             0411 1914             0436 1904  0509 1819             0617 1638             0713 1622

                                             Add one hour for daylight time, if and when in use.

Back to form <javascript:history.go(-1)>
